Data,active_cases,active_cases_d2,active_cases_d3,active_cases_d4,active_cases_d5,active_cases_d6,active_cases_d7,active_cases_d8,active_cases_d9,active_cases_d10,active_cases_d11,active_cases_d12,active_cases_d13,active_cases_d14,active_cases_d15,active_cases_d16,active_cases_d17,active_cases_d18,active_cases_d19,active_cases_d20,active_cases_d21
2021-03-02,8279,8476,8816,9069,9908,10747,10747,11035,11308,11823,12372,12665,12665,14271,14164,14098,13963,13741,13317,13534,13948
2021-03-09,11035,11308,11823,12372,12665,12665,14271,14164,14098,13963,13741,13317,13534,13948,13460,13140,13318,12989,12848,12931,12994
2021-03-16,14164,14098,13963,13741,13317,13534,13948,13460,13140,13318,12989,12848,12931,12994,12438,11736,11320,10743,10371,10565.5,10760
2021-03-23,13460,13140,13318,12989,12848,12931,12994,12438,11736,11320,10743,10371,10565.5,10760,9918,8940,8198,8120,7957,7954,7356
2021-03-30,12438,11736,11320,10743,10371,10565.5,10760,9918,8940,8198,8120,7957,7954,7356,7168,7278,7014,7006,6957,6925,6812
2021-04-06,9918,8940,8198,8120,7957,7954,7356,7168,7278,7014,7006,6957,6925,6812,6526,6479,6375,6143,6221,6163,6079
2021-04-13,7168,7278,7014,7006,6957,6925,6812,6526,6479,6375,6143,6221,6163,6079,6062,6121,6108,6027,6217,6048,6264
2021-04-20,6526,6479,6375,6143,6221,6163,6079,6062,6121,6108,6027,6217,6048,6264,6376,6552,6832,6906,6989,7147,7485
2021-04-27,6062,6121,6108,6027,6217,6048,6264,6376,6552,6832,6906,6989,7147,7485,7464,7630,7512,7727,7968,8450,8593
2021-05-04,6376,6552,6832,6906,6989,7147,7485,7464,7630,7512,7727,7968,8450,8593,8647,8738,8809,9148,9436,9999,9966
2021-05-11,7464,7630,7512,7727,7968,8450,8593,8647,8738,8809,9148,9436,9999,9966,9878,9952,9943,9967,10440,10929,10801
2021-05-18,8647,8738,8809,9148,9436,9999,9966,9878,9952,9943,9967,10440,10929,10801,10642,10578,10484,10173,10158,10212,10018
2021-05-25,9878,9952,9943,9967,10440,10929,10801,10642,10578,10484,10173,10158,10212,10018,9918,9741,9194,8923,8802,8436,8460
2021-06-01,10642,10578,10484,10173,10158,10212,10018,9918,9741,9194,8923,8802,8436,8460,8376,8213,8081,8014,8074,8028,7978
