Date,WWTP,filtered volume(L),N1 copies per microL,sd N1 copies microL,flow
2021-03-02,ETE-AT,0.058,0.207338738,0.0604087405,1772
2021-03-09,ETE-AT,0.093,4.469123898,1.4651761965,1570
2021-03-16,ETE-AT,0.092,7.1454048,2.025867119,1396
2021-03-23,ETE-AT,0.08,12.1504936,0.7920023145,1029
2021-03-30,ETE-AT,0.07,7.43480848,0.20069741055,1227
2021-04-06,ETE-AT,0.052,7.34932591,1.8348700205,1018
2021-04-13,ETE-AT,0.05,1.069805257,0.170401309,909
2021-04-27,ETE-AT,0.044,2.344567874,0.543898318,750
2021-05-04,ETE-AT,0.057,2.450299078,0.757994302,787
2021-05-11,ETE-AT,0.1,3.542817842,0.9502389805,829
2021-05-18,ETE-AT,0.088,2.1927383285,0.755677975,957
2021-05-25,ETE-AT,0.071,7.699481255,1.225047141,1083
2021-06-01,ETE-AT,0.046,16.165905235,5.77577658,1160
2021-06-08,ETE-AT,0.1,14.728349165,4.170720368,1444
2021-06-15,ETE-AT,0.045,6.631072615,1.040591675,850
2021-06-22,ETE-AT,0.087,4.8221628575,0.806700409,1748
2021-06-29,ETE-AT,0.042,1.481048105,0.2977530155,1403
2021-07-06,ETE-AT,0.07,2.9195425595,0.938851394,1102
2021-07-13,ETE-AT,0.051,4.088562184,0.5529727715,832
2021-07-20,ETE-AT,0.07,2.521966024,0.6534056165,853
2021-07-27,ETE-AT,0.039,0.7761894425,0.15988663,944
2021-08-03,ETE-AT,0.051,4.507365743,0.3295967985,877
2021-08-10,ETE-AT,0.056,3.1593808715,0.601715573,835
2021-08-17,ETE-AT,0.098,2.2609912465,0.297239045,1776
2021-08-24,ETE-AT,0.048,2.5609467905,0.1599868095,1224
2021-08-31,ETE-AT,0.042,0.8509684655,0.1991440605,909
2021-09-09,ETE-AT,0.047,4.4717018955,1.3074084735,905
2021-09-14,ETE-AT,0.057,0.343289936,0.098941629,903
2021-09-21,ETE-AT,0.064,0.807997084,0.199361747,1013
2021-09-28,ETE-AT,0.051,0.558416735459995,0.099057250481905,849
2021-10-05,ETE-AT,0.098,0.680068967,0.0970022965,1770
2021-10-13,ETE-AT,0.082,0,0,1303
2021-10-19,ETE-AT,0.086,1.0620226995,0.371025009,1694
2021-10-26,ETE-AT,0.071,0.0882292995,0.0410746055,1410
2021-11-03,ETE-AT,0.077,0.0417135555,0.0119566865,1319
2021-11-09,ETE-AT,0.073,0,0,895
2021-11-16,ETE-AT,0.06,0.063250807,0.0205437675,801
2021-11-23,ETE-AT,0.065,0.280133642,0.0924205315,578
2021-11-30,ETE-AT,0.062,0,0,572
2021-12-07,ETE-AT,0.1,0.2032602315,0.0608680785,1172
2021-12-14,ETE-AT,0.051,0.6355509655,0.1702447635,947
2021-12-21,ETE-AT,0.052,0,0,961
2021-12-28,ETE-AT,0.07,3.842004493128255,1.12082338658138,1152
2022-01-04,ETE-AT,0.068,33.715741425,6.414870735,1211
2022-01-11,ETE-AT,0.074,4.93497130661085,0.8707698995228,1447.8
2022-01-18,ETE-AT,0.086,9.67932035221695,1.0582052729212,1771.6
2022-01-25,ETE-AT,0.071,20.079333625,5.80800034,1241
2022-02-01,ETE-AT,0.1,9.88477041,2.7771928405,1230
2022-02-08,ETE-AT,0.062,21.778189205,4.555956556,1320
2022-02-15,ETE-AT,0.061,8.85981065,0.6782526665,1175
2022-02-22,ETE-AT,0.062,28.908682515,3.1338941715,1410
2021-03-02,ETE-BL,0.087,1.662781553,0.5585834975,949
2021-03-09,ETE-BL,0.055,2.137201315,0.6797567665,1386
2021-03-16,ETE-BL,0.06,3.3818566005,1.011439362,1250
2021-03-23,ETE-BL,0.094,2.190756391,0.4641981985,893
2021-03-30,ETE-BL,0.1,1.506383358,0.1821272585,1237
2021-04-06,ETE-BL,0.043,0.445772427,0.133406507,886
2021-04-13,ETE-BL,0.031,0.796161234,0.173998691,946
2021-04-20,ETE-BL,0.05,0.7997666115,0.0354936735,881
2021-04-27,ETE-BL,0.048,0.8560545385,0.24934754,972
2021-05-04,ETE-BL,0.088,1.6924562605,0.3631051595,934
2021-05-11,ETE-BL,0.05,5.79325985,1.4431518415,1120
2021-05-18,ETE-BL,0.047,8.181770135,0.1663893473,1357
2021-05-25,ETE-BL,0.05,22.328020005,5.221032605,985
2021-06-01,ETE-BL,0.043,7.642835465,0.704661104,1080
2021-06-08,ETE-BL,0.1,3.138506756,0.9331248945,1130
2021-06-15,ETE-BL,0.048,5.171181935,0.2021068335,990
2021-06-22,ETE-BL,0.078,5.59332721,0.2615242565,950
2021-06-29,ETE-BL,0.05,7.446031095,1.8832038685,995
2021-07-06,ETE-BL,0.04,6.13386041,1.7505430805,1062
2021-07-13,ETE-BL,0.041,4.6048981915,0.214545167,916
2021-07-20,ETE-BL,0.051,1.147539154767245,0.294366518,961
2021-07-27,ETE-BL,0.033,0.81122114,0.25586829,882
2021-08-03,ETE-BL,0.036,0.673729408,0.1075402515,926
2021-08-10,ETE-BL,0.039,8.23264247,1.590047633,1032.2
2021-08-17,ETE-BL,0.04,1.7334777485,0.423509557,935.6
